threshold,precision,recall,f1,auprc,true_negatives,false_positives,false_negatives,true_positives
0.8200000000000001,0.9186046511627907,0.8404255319148937,0.8777777777777778,0.8838308891686253,56644,7,15,79
0.8300000000000001,0.9186046511627907,0.8404255319148937,0.8777777777777778,0.8838308891686253,56644,7,15,79
0.8400000000000001,0.9176470588235294,0.8297872340425532,0.8715083798882681,0.8838308891686253,56644,7,16,78
0.85,0.9176470588235294,0.8297872340425532,0.8715083798882681,0.8838308891686253,56644,7,16,78
0.86,0.9176470588235294,0.8297872340425532,0.8715083798882681,0.8838308891686253,56644,7,16,78
0.87,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.8838308891686253,56645,6,16,78
0.88,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.8838308891686253,56645,6,16,78
0.89,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.8838308891686253,56645,6,16,78
0.9,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.8838308891686253,56645,6,16,78
0.91,0.9285714285714286,0.8297872340425532,0.8764044943820225,0.8838308891686253,56645,6,16,78
0.92,0.9397590361445783,0.8297872340425532,0.8813559322033898,0.8838308891686253,56646,5,16,78
0.93,0.9397590361445783,0.8297872340425532,0.8813559322033898,0.8838308891686253,56646,5,16,78
0.9400000000000001,0.9397590361445783,0.8297872340425532,0.8813559322033898,0.8838308891686253,56646,5,16,78
0.9500000000000001,0.9629629629629629,0.8297872340425532,0.8914285714285715,0.8838308891686253,56648,3,16,78
0.9600000000000001,0.9746835443037974,0.8191489361702128,0.8901734104046243,0.8838308891686253,56649,2,17,77
0.97,0.9743589743589743,0.8085106382978723,0.8837209302325582,0.8838308891686253,56649,2,18,76
0.98,0.9736842105263158,0.7872340425531915,0.8705882352941177,0.8838308891686253,56649,2,20,74
0.99,0.9736842105263158,0.7872340425531915,0.8705882352941177,0.8838308891686253,56649,2,20,74
